Series_Title,Released_Year
Gisaengchung,2019
La vita è bella,1997
The Intouchables,2011
Back to the Future,1985
Modern Times,1936
City Lights,1931
3 Idiots,2009
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
The Great Dictator,1940
Amélie,2001
Snatch,2000
Toy Story,1995
The Sting,1973
The Apartment,1960
Singin' in the Rain,1952
The Kid,1921
Chhichhore,2019
Green Book,2018
"Three Billboards Outside Ebbing, Missouri",2017
Klaus,2019
Queen,2013
Gangs of Wasseypur,2012
Up,2009
Toy Story 3,2010
Rang De Basanti,2006
Hera Pheri,2000
"Lock, Stock and Two Smoking Barrels",1998
Andaz Apna Apna,1994
Dom za vesanje,1988
Sholay,1975
Monty Python and the Holy Grail,1975
Some Like It Hot,1959
To Be or Not to Be,1942
The Gold Rush,1925
Sherlock Jr.,1924
Relatos salvajes,2014
Soul,2020
PK,2014
OMG: Oh My God!,2012
The Grand Budapest Hotel,2014
Inside Out,2015
Barfi!,2012
Zindagi Na Milegi Dobara,2011
Mary and Max,2009
Lage Raho Munna Bhai,2006
Munna Bhai M.B.B.S.,2003
Dil Chahta Hai,2001
Finding Nemo,2003
"Monsters, Inc.",2001
The Truman Show,1998
"Crna macka, beli macor",1998
The Big Lebowski,1998
Underground,1995
Chung Hing sam lam,1994
Dead Poets Society,1989
Life of Brian,1979
Paper Moon,1973
Sanjuro,1962
The Shop Around the Corner,1940
Mr. Smith Goes to Washington,1939
It Happened One Night,1934
The Circus,1928
The General,1926
Badhaai ho,2018
Bajrangi Bhaijaan,2015
La La Land,2016
Zootopia,2016
Guardians of the Galaxy,2014
Deadpool,2016
G.O.R.A.,2004
Ratatouille,2007
Kal Ho Naa Ho,2003
Yeopgijeogin geunyeo,2001
Vizontele,2001
Knockin' on Heaven's Door,1997
Secrets & Lies,1996
Groundhog Day,1993
Aladdin,1992
Do the Right Thing,1989
Being There,1979
Annie Hall,1977
Young Frankenstein,1974
The Graduate,1967
La dolce vita,1960
Stalag 17,1953
Roman Holiday,1953
Kind Hearts and Coronets,1949
Arsenic and Old Lace,1942
La règle du jeu,1939
The Thin Man,1934
Knives Out,2019
Dil Bechara,2020
Marriage Story,2019
Isle of Dogs,2018
Hunt for the Wilderpeople,2016
Captain Fantastic,2016
Sing Street,2016
Thor: Ragnarok,2017
Jojo Rabbit,2019
The Artist,2011
Jab We Met,2007
In Bruges,2008
Fantastic Mr. Fox,2009
C.R.A.Z.Y.,2005
Shaun of the Dead,2004
No Man's Land,2001
Almost Famous,2000
Toy Story 2,1999
Crimes and Misdemeanors,1989
Hannah and Her Sisters,1986
This Is Spinal Tap,1984
A Christmas Story,1983
The Blues Brothers,1980
Manhattan,1979
Amarcord,1973
Le charme discret de la bourgeoisie,1972
Harold and Maude,1971
Charade,1963
Harvey,1950
Miracle on 34th Street,1947
The Philadelphia Story,1940
His Girl Friday,1940
A Night at the Opera,1935
The Gentlemen,2019
Perfetti sconosciuti,2016
Paddington 2,2017
Pride,2014
Vicky Donor,2012
About Time,2013
English Vinglish,2012
Toy Story 4,2019
Moonrise Kingdom,2012
The Big Short,2015
Druk,2020
Little Miss Sunshine,2006
Hot Fuzz,2007
Adams æbler,2005
Tôkyô goddofâzâzu,2003
Les triplettes de Belleville,2003
Shrek,2001
Ed Wood,1994
The Sandlot,1993
Naked,1993
Night on Earth,1991
Back to the Future Part II,1989
Evil Dead II,1987
Ferris Bueller's Day Off,1986
Down by Law,1986
The Goonies,1985
The Breakfast Club,1985
Ghostbusters,1984
The King of Comedy,1982
Guess Who's Coming to Dinner,1967
Mary Poppins,1964
To Have and Have Not,1944
Bringing Up Baby,1938
Duck Soup,1933
Deadpool 2,2018
En man som heter Ove,2015
What We Do in the Shadows,2014
Kingsman: The Secret Service,2014
Me and Earl and the Dying Girl,2015
Birdman or (The Unexpected Virtue of Ignorance),2014
Nebraska,2013
Wreck-It Ralph,2012
Midnight in Paris,2011
The Hangover,2009
Silver Linings Playbook,2012
(500) Days of Summer,2009
Gake no ue no Ponyo,2008
Flipped,2010
Toki o kakeru shôjo,2006
Tangled,2010
Kung fu,2004
Lost in Translation,2003
Good Bye Lenin!,2003
Adaptation.,2002
Hedwig and the Angry Inch,2001
"O Brother, Where Art Thou?",2000
Interstate 60: Episodes of the Road,2002
"South Park: Bigger, Longer & Uncut",1999
Office Space,1999
Happiness,1998
Rushmore,1998
Being John Malkovich,1999
As Good as It Gets,1997
Le dîner de cons,1998
Do lok tin si,1995
Il postino,1994
Clerks,1994
Short Cuts,1993
The Muppet Christmas Carol,1992
Kurenai no buta,1992
Barton Fink,1991
Who Framed Roger Rabbit,1988
Withnail & I,1987
The Purple Rose of Cairo,1985
After Hours,1985
Zelig,1983
Airplane!,1980
Love and Death,1975
Blazing Saddles,1974
The Odd Couple,1968
The Ladykillers,1955
Sabrina,1954
The Quiet Man,1952
Once Upon a Time... in Hollywood,2019
The Peanut Butter Falcon,2019
Guardians of the Galaxy Vol. 2,2017
Moana,2016
Philomena,2013
Despicable Me,2010
50/50,2011
Kick-Ass,2010
Zombieland,2009
Jeux d'enfants,2003
The Station Agent,2003
The Royal Tenenbaums,2001
American Psycho,2000
Fear and Loathing in Las Vegas,1998
Trois couleurs: Blanc,1994
Dazed and Confused,1993
My Cousin Vinny,1992
Delicatessen,1991
Home Alone,1990
When Harry Met Sally...,1989
The Naked Gun: From the Files of Police Squad!,1988
"Planes, Trains & Automobiles",1987
The Muppet Movie,1979
The Long Goodbye,1973
Kelly's Heroes,1970
A Hard Day's Night,1964
Breakfast at Tiffany's,1961
